iso3,year,hs27_import_value,all_import_value,exp_imp,exp_imp_pct
BGR,2024,6610665793.803,53806356662.477,0.12286031249562542,12.28603124956254
BHR,2015,4194376905.297,16389939722.993,0.2559116736355548,25.591167363555478
BHR,2016,3357288246.714,14748516726.92,0.22763565373228675,22.763565373228676
BHR,2017,4537156294.862,17390888016.863,0.260892732473613,26.089273247361298
BHR,2018,6127540901.485,20597535923.718,0.29748902607467503,29.748902607467503
BHR,2019,5632492527.55,18588377144.142,0.3030115261743031,30.30115261743031
BHR,2020,3031110983.85,15458353936.863,0.19608238989934204,19.608238989934204
BHR,2021,382392449.29,14135237381.753,0.027052425011526555,2.7052425011526555
BHR,2022,624813868.287,15534502920.483,0.040221040318139334,4.022104031813933
BHR,2023,528743066.159,15354369877.812,0.03443599902611868,3.4435999026118678
BHR,2024,404907425.147,15615764579.902,0.025929401219849914,2.5929401219849915
BHS,2015,537756257.0,3161314272.0,0.17010528240198955,17.010528240198955
BHS,2016,404067137.0,2930861462.0,0.13786633801662782,13.78663380166278
BHS,2017,555972311.67,3477450224.06,0.1598793011682249,15.98793011682249
BHS,2018,585207011.51,3523973184.13,0.16606454729719408,16.60645472971941
BHS,2019,772186751.817,3320458693.718,0.23255424115888138,23.255424115888136
BHS,2020,387545117.0,2205003339.0,0.17575715652918564,17.575715652918564
BHS,2021,660132173.0,3482581191.0,0.1895525579435084,18.95525579435084
BHS,2022,606358020.0,3757847448.0,0.16135780613518935,16.135780613518936
BHS,2023,627493245.0,4187477640.0,0.14984993328824078,14.984993328824078
BHS,2024,810241763.0,4944006623.0,0.1638836322003851,16.38836322003851
BIH,2015,1215579283.0,8993966160.0,0.13515497627800727,13.515497627800727
BIH,2016,1094333743.0,9141880413.0,0.11970554126302374,11.970554126302375
BIH,2017,1521641274.29,10474058771.313,0.14527713730779945,14.527713730779945
BIH,2018,1717913653.47,11629555025.821,0.14771963756616066,14.771963756616065
BIH,2019,1564306081.76,11159040331.667,0.14018285043032147,14.018285043032147
BIH,2020,954759399.26,9867513970.012,0.09675784621755534,9.675784621755534
BIH,2021,1553261865.65,13028951612.9,0.11921618191536695,11.921618191536695
BIH,2022,2536108838.6,15379632167.161,0.1649004872831203,16.49004872831203
BIH,2023,2029048307.749,15348896098.385,0.13219506437094816,13.219506437094816
BIH,2024,1934005927.098,15853280486.929,0.12199405218955056,12.199405218955055
BLR,2015,9211203500.0,30291492800.0,0.3040854922805257,30.40854922805257
BLR,2016,7372958100.0,27609883700.0,0.2670405344735299,26.704053447352987
BLR,2017,9670046300.0,34234849200.0,0.28246206792112877,28.246206792112876
BLR,2018,11085604000.0,38408911900.0,0.2886206208825197,28.86206208825197
BLR,2019,9785626300.0,39476679200.0,0.247883725234923,24.7883725234923
BLR,2020,6684641300.0,32767433100.0,0.20400259243986982,20.40025924398698
BLZ,2015,112973469.0,995560655.0,0.1134772335895496,11.34772335895496
BLZ,2016,95679868.0,952493786.0,0.10045196032386504,10.045196032386503
BLZ,2017,109258104.565,913130452.85,0.11965224051392778,11.965224051392779
BLZ,2018,141839742.99,957739411.005,0.14809847163035825,14.809847163035824
BLZ,2019,147765515.567,985904343.893,0.14987814637627458,14.987814637627459
BLZ,2020,80544208.09,788069358.24,0.10220446620317768,10.220446620317768
BLZ,2021,134217927.888,1061421282.448,0.12645113689302295,12.645113689302296
BLZ,2022,226149989.943,1397265081.288,0.16185188692651986,16.185188692651987
BLZ,2023,198162117.416,1340857181.601,0.1477876392319367,14.778763923193669
BLZ,2024,208392351.658,1454557674.608,0.14326853812390852,14.326853812390853
BMU,2015,91734034.0,928900937.0,0.09875545426433346,9.875545426433346
BMU,2016,82238354.0,971429410.0,0.0846570560386884,8.46570560386884
BMU,2017,78824783.07,1078213784.73,0.073106821843999,7.3106821843999
BMU,2018,129818818.44,1070009014.92,0.12132497635985431,12.132497635985432
BMU,2019,100302740.27,1117764475.54,0.08973512977458246,8.973512977458247
BMU,2020,53033454.45,903950587.86,0.05866853250856406,5.866853250856406
BMU,2021,90614062.68,1055206248.22,0.08587331892021537,8.587331892021536
BMU,2022,141507291.64,1192257848.37,0.11868849664815564,11.868849664815565
BMU,2023,97415905.81,1178658451.56,0.08264981740984108,8.264981740984108
BMU,2024,146202797.6,1270450393.43,0.11507950121946697,11.507950121946697
BOL,2015,1150731150.22,9843076578.56,0.11690767018174994,11.690767018174993
BOL,2016,822171840.65,8563809687.11,0.09600538436620204,9.600538436620203
BOL,2017,983373058.74,9367587902.74,0.10497612287709256,10.497612287709256
BOL,2018,1303770580.15,10000376722.28,0.1303721466057682,13.03721466057682
BOL,2019,1597609064.89,9824367971.12,0.16261698152862133,16.261698152862134
BOL,2020,938458237.75,7115199566.13,0.13189485818743282,13.189485818743282
BOL,2021,2270561195.93,9618073964.67,0.23607233675582404,23.607233675582403
BOL,2022,4409766177.0,13049405742.0,0.33792850526572277,33.79285052657227
BOL,2023,3032141535.0,11489290064.0,0.2639102606087707,26.39102606087707
